OID_,NAME,ZONE_CODE,LST_COUNT,AREA,LST_MIN,LST_MAX,LST_RANGE,LST_MEAN,LST_STD,LST_SUM,LST_MEDIAN,LST_PCT90,Date,LST_Year,LST_Month,MERGE_SRC
1,Nekatambe,1,4.000000000000000,0.040000000000000,29.015748977661100,32.874015808105500,3.858266830444340,31.289370536804200,1.436973932694790,125.157482147217000,31.633858680725100,32.625984573364300,2015_01,2015,1,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_01_FLOAT_WMA
2,Nemananga,2,2.000000000000000,0.020000000000000,32.322834014892600,34.803150177002000,2.480316162109380,33.562992095947300,1.240158081054690,67.125984191894500,33.562992095947300,34.555118560791000,2015_01,2015,1,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_01_FLOAT_WMA
3,Sidinda,3,6.000000000000000,0.060000000000000,32.598426818847700,33.976379394531300,1.377952575683590,33.333333969116200,0.468413705065278,200.000003814697000,33.425197601318400,33.838582992553700,2015_01,2015,1,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_01_FLOAT_WMA
4,Simangani,4,5.000000000000000,0.050000000000000,31.220472335815400,34.251968383789100,3.031496047973630,32.322834777832000,1.142953421309880,161.614173889160000,32.047245025634800,33.700787353515600,2015_01,2015,1,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_01_FLOAT_WMA
5,Unknown 16,5,1.000000000000000,0.010000000000000,33.425197601318400,33.425197601318400,0.000000000000000,33.425197601318400,0.000000000000000,33.425197601318400,33.425197601318400,33.425197601318400,2015_01,2015,1,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_01_FLOAT_WMA
6,Chidobe,6,1.000000000000000,0.010000000000000,33.149604797363300,33.149604797363300,0.000000000000000,33.149604797363300,0.000000000000000,33.149604797363300,33.149604797363300,33.149604797363300,2015_01,2015,1,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_01_FLOAT_WMA
7,Jambezi,7,2.000000000000000,0.020000000000000,32.047245025634800,33.149604797363300,1.102359771728520,32.598424911499000,0.551179885864258,65.196849822998000,32.598424911499000,33.039368820190400,2015_01,2015,1,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_01_FLOAT_WMA
8,Kachecheti,8,2.000000000000000,0.020000000000000,32.598426818847700,33.700786590576200,1.102359771728520,33.149606704711900,0.551179885864258,66.299213409423800,33.149606704711900,33.590550613403300,2015_01,2015,1,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_01_FLOAT_WMA
9,Mabale,9,1.000000000000000,0.010000000000000,29.842519760131800,29.842519760131800,0.000000000000000,29.842519760131800,0.000000000000000,29.842519760131800,29.842519760131800,29.842519760131800,2015_01,2015,1,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_01_FLOAT_WMA
10,Nekatambe,1,4.000000000000000,0.040000000000000,29.015748977661100,33.425197601318400,4.409448623657230,31.151575565338100,1.634776958664850,124.606302261353000,31.082677841186500,32.929134559631400,2015_02,2015,2,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_02_FLOAT_WMA
11,Nemananga,2,2.000000000000000,0.020000000000000,31.496063232421900,31.771654129028300,0.275590896606445,31.633858680725100,0.137795448303223,63.267717361450200,31.633858680725100,31.744095039367700,2015_02,2015,2,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_02_FLOAT_WMA
12,Sidinda,3,6.000000000000000,0.060000000000000,31.771654129028300,33.976379394531300,2.204725265502930,32.874016125996900,0.811316336134208,197.244096755981000,32.874015808105500,33.838582992553700,2015_02,2015,2,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_02_FLOAT_WMA
13,Simangani,4,5.000000000000000,0.050000000000000,30.669290542602500,35.078739166259800,4.409448623657230,32.488188552856400,1.649864384782650,162.440942764282000,31.771654129028300,34.527558135986300,2015_02,2015,2,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_02_FLOAT_WMA
14,Unknown 16,5,1.000000000000000,0.010000000000000,32.047245025634800,32.047245025634800,0.000000000000000,32.047245025634800,0.000000000000000,32.047245025634800,32.047245025634800,32.047245025634800,2015_02,2015,2,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_02_FLOAT_WMA
15,Chidobe,6,1.000000000000000,0.010000000000000,32.322834014892600,32.322834014892600,0.000000000000000,32.322834014892600,0.000000000000000,32.322834014892600,32.322834014892600,32.322834014892600,2015_02,2015,2,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_02_FLOAT_WMA
16,Jambezi,7,2.000000000000000,0.020000000000000,31.220472335815400,31.220472335815400,0.000000000000000,31.220472335815400,0.000000000000000,62.440944671630900,31.220472335815400,31.220472335815400,2015_02,2015,2,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_02_FLOAT_WMA
17,Kachecheti,8,2.000000000000000,0.020000000000000,31.220472335815400,33.425197601318400,2.204725265502930,32.322834968566900,1.102362632751470,64.645669937133800,32.322834968566900,33.204725074768100,2015_02,2015,2,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_02_FLOAT_WMA
18,Mabale,9,1.000000000000000,0.010000000000000,29.015748977661100,29.015748977661100,0.000000000000000,29.015748977661100,0.000000000000000,29.015748977661100,29.015748977661100,29.015748977661100,2015_02,2015,2,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_02_FLOAT_WMA
19,Nekatambe,1,4.000000000000000,0.040000000000000,32.047245025634800,34.251968383789100,2.204723358154300,33.425196647644000,0.826771100362264,133.700786590576000,33.700786590576200,34.086613845825200,2015_03,2015,3,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_03_FLOAT_WMA
20,Nemananga,2,2.000000000000000,0.020000000000000,34.251968383789100,34.803150177002000,0.551181793212891,34.527559280395500,0.275590896606445,69.055118560791000,34.527559280395500,34.748031997680700,2015_03,2015,3,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_03_FLOAT_WMA
21,Sidinda,3,6.000000000000000,0.060000000000000,33.700786590576200,35.078739166259800,1.377952575683590,34.527558644612600,0.450037660292758,207.165351867676000,34.665353775024400,34.940944671630900,2015_03,2015,3,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_03_FLOAT_WMA
22,Simangani,4,5.000000000000000,0.050000000000000,33.425197601318400,35.354331970214800,1.929134368896480,34.417322540283200,0.751710849328653,172.086612701416000,34.527557373046900,35.244094848632800,2015_03,2015,3,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_03_FLOAT_WMA
23,Unknown 16,5,1.000000000000000,0.010000000000000,35.078739166259800,35.078739166259800,0.000000000000000,35.078739166259800,0.000000000000000,35.078739166259800,35.078739166259800,35.078739166259800,2015_03,2015,3,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_03_FLOAT_WMA
24,Chidobe,6,1.000000000000000,0.010000000000000,34.527557373046900,34.527557373046900,0.000000000000000,34.527557373046900,0.000000000000000,34.527557373046900,34.527557373046900,34.527557373046900,2015_03,2015,3,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_03_FLOAT_WMA
25,Jambezi,7,2.000000000000000,0.020000000000000,33.700786590576200,34.251968383789100,0.551181793212891,33.976377487182600,0.275590896606445,67.952754974365200,33.976377487182600,34.196850204467800,2015_03,2015,3,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_03_FLOAT_WMA
26,Kachecheti,8,2.000000000000000,0.020000000000000,34.803150177002000,36.181102752685500,1.377952575683590,35.492126464843800,0.688976287841797,70.984252929687500,35.492126464843800,36.043307495117200,2015_03,2015,3,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_03_FLOAT_WMA
27,Mabale,9,1.000000000000000,0.010000000000000,30.669290542602500,30.669290542602500,0.000000000000000,30.669290542602500,0.000000000000000,30.669290542602500,30.669290542602500,30.669290542602500,2015_03,2015,3,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_03_FLOAT_WMA
28,Nekatambe,1,4.000000000000000,0.040000000000000,28.464567184448200,30.118110656738300,1.653543472290040,29.360236167907700,0.596671077997063,117.440944671631000,29.429133415222200,29.952756118774400,2015_04,2015,4,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_04_FLOAT_WMA
29,Nemananga,2,2.000000000000000,0.020000000000000,28.464567184448200,28.464567184448200,0.000000000000000,28.464567184448200,0.000000000000000,56.929134368896500,28.464567184448200,28.464567184448200,2015_04,2015,4,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_04_FLOAT_WMA
30,Sidinda,3,6.000000000000000,0.060000000000000,28.740158081054700,29.566928863525400,0.826770782470703,29.107611656189000,0.304676337263131,174.645669937134000,29.153543472290000,29.429133415222200,2015_04,2015,4,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_04_FLOAT_WMA
31,Simangani,4,5.000000000000000,0.050000000000000,30.393701553344700,31.220472335815400,0.826770782470703,30.779527664184600,0.373828892801395,153.897638320923000,30.669290542602500,31.220472335815400,2015_04,2015,4,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_04_FLOAT_WMA
32,Unknown 16,5,1.000000000000000,0.010000000000000,31.496063232421900,31.496063232421900,0.000000000000000,31.496063232421900,0.000000000000000,31.496063232421900,31.496063232421900,31.496063232421900,2015_04,2015,4,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_04_FLOAT_WMA
33,Chidobe,6,1.000000000000000,0.010000000000000,28.464567184448200,28.464567184448200,0.000000000000000,28.464567184448200,0.000000000000000,28.464567184448200,28.464567184448200,28.464567184448200,2015_04,2015,4,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_04_FLOAT_WMA
34,Jambezi,7,2.000000000000000,0.020000000000000,28.464567184448200,28.740158081054700,0.275590896606445,28.602362632751500,0.137795448303223,57.204725265502900,28.602362632751500,28.712598991394000,2015_04,2015,4,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_04_FLOAT_WMA
35,Kachecheti,8,2.000000000000000,0.020000000000000,28.464567184448200,29.291337966918900,0.826770782470703,28.877952575683600,0.413385391235352,57.755905151367200,28.877952575683600,29.208660888671900,2015_04,2015,4,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_04_FLOAT_WMA
36,Mabale,9,1.000000000000000,0.010000000000000,27.637794494628900,27.637794494628900,0.000000000000000,27.637794494628900,0.000000000000000,27.637794494628900,27.637794494628900,27.637794494628900,2015_04,2015,4,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_04_FLOAT_WMA
37,Nekatambe,1,4.000000000000000,0.040000000000000,29.842519760131800,31.496063232421900,1.653543472290040,30.807086467742900,0.631457343889222,123.228345870972000,30.944881439209000,31.413385963439900,2015_05,2015,5,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_05_FLOAT_WMA
38,Nemananga,2,2.000000000000000,0.020000000000000,29.842519760131800,30.393701553344700,0.551181793212891,30.118110656738300,0.275590896606445,60.236221313476600,30.118110656738300,30.338583374023400,2015_05,2015,5,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_05_FLOAT_WMA
39,Sidinda,3,6.000000000000000,0.060000000000000,29.566928863525400,30.393701553344700,0.826772689819336,29.888451576232900,0.334388668630045,179.330709457397000,29.842519760131800,30.255906105041500,2015_05,2015,5,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_05_FLOAT_WMA
40,Simangani,4,5.000000000000000,0.050000000000000,31.496063232421900,31.771654129028300,0.275590896606445,31.661417770385700,0.135011414888382,158.307088851929000,31.771654129028300,31.771654129028300,2015_05,2015,5,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_05_FLOAT_WMA
41,Unknown 16,5,1.000000000000000,0.010000000000000,32.598426818847700,32.598426818847700,0.000000000000000,32.598426818847700,0.000000000000000,32.598426818847700,32.598426818847700,32.598426818847700,2015_05,2015,5,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_05_FLOAT_WMA
42,Chidobe,6,1.000000000000000,0.010000000000000,29.015748977661100,29.015748977661100,0.000000000000000,29.015748977661100,0.000000000000000,29.015748977661100,29.015748977661100,29.015748977661100,2015_05,2015,5,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_05_FLOAT_WMA
43,Jambezi,7,2.000000000000000,0.020000000000000,29.566928863525400,29.842519760131800,0.275590896606445,29.704724311828600,0.137795448303223,59.409448623657200,29.704724311828600,29.814960670471200,2015_05,2015,5,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_05_FLOAT_WMA
44,Kachecheti,8,2.000000000000000,0.020000000000000,29.566928863525400,30.118110656738300,0.551181793212891,29.842519760131800,0.275590896606445,59.685039520263700,29.842519760131800,30.062992477417000,2015_05,2015,5,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_05_FLOAT_WMA
45,Mabale,9,1.000000000000000,0.010000000000000,29.566928863525400,29.566928863525400,0.000000000000000,29.566928863525400,0.000000000000000,29.566928863525400,29.566928863525400,29.566928863525400,2015_05,2015,5,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_05_FLOAT_WMA
46,Nekatambe,1,4.000000000000000,0.040000000000000,26.811023712158200,27.913385391235400,1.102361679077150,27.499999523162800,0.413385550181132,109.999998092651000,27.637794494628900,27.830708122253400,2015_06,2015,6,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_06_FLOAT_WMA
47,Nemananga,2,2.000000000000000,0.020000000000000,27.362205505371100,27.637794494628900,0.275588989257812,27.500000000000000,0.137794494628906,55.000000000000000,27.500000000000000,27.610235595703100,2015_06,2015,6,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_06_FLOAT_WMA
48,Sidinda,3,6.000000000000000,0.060000000000000,26.811023712158200,27.637794494628900,0.826770782470703,27.178477923075400,0.304676720654813,163.070867538452000,27.224410057067900,27.500000000000000,2015_06,2015,6,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_06_FLOAT_WMA
49,Simangani,4,5.000000000000000,0.050000000000000,28.188976287841800,28.464567184448200,0.275590896606445,28.354330825805700,0.135011414888382,141.771654129028000,28.464567184448200,28.464567184448200,2015_06,2015,6,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_06_FLOAT_WMA
50,Unknown 16,5,1.000000000000000,0.010000000000000,28.740158081054700,28.740158081054700,0.000000000000000,28.740158081054700,0.000000000000000,28.740158081054700,28.740158081054700,28.740158081054700,2015_06,2015,6,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_06_FLOAT_WMA
51,Chidobe,6,1.000000000000000,0.010000000000000,26.535432815551800,26.535432815551800,0.000000000000000,26.535432815551800,0.000000000000000,26.535432815551800,26.535432815551800,26.535432815551800,2015_06,2015,6,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_06_FLOAT_WMA
52,Jambezi,7,2.000000000000000,0.020000000000000,26.811023712158200,27.362205505371100,0.551181793212891,27.086614608764600,0.275590896606445,54.173229217529300,27.086614608764600,27.307087326049800,2015_06,2015,6,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_06_FLOAT_WMA
53,Kachecheti,8,2.000000000000000,0.020000000000000,26.811023712158200,27.362205505371100,0.551181793212891,27.086614608764600,0.275590896606445,54.173229217529300,27.086614608764600,27.307087326049800,2015_06,2015,6,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_06_FLOAT_WMA
54,Mabale,9,1.000000000000000,0.010000000000000,26.259841918945300,26.259841918945300,0.000000000000000,26.259841918945300,0.000000000000000,26.259841918945300,26.259841918945300,26.259841918945300,2015_06,2015,6,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_06_FLOAT_WMA
55,Nekatambe,1,4.000000000000000,0.040000000000000,27.913385391235400,28.740158081054700,0.826772689819336,28.395669460296600,0.358003076269368,113.582677841187000,28.464567184448200,28.740158081054700,2015_07,2015,7,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_07_FLOAT_WMA
56,Nemananga,2,2.000000000000000,0.020000000000000,28.188976287841800,28.740158081054700,0.551181793212891,28.464567184448200,0.275590896606445,56.929134368896500,28.464567184448200,28.685039901733400,2015_07,2015,7,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_07_FLOAT_WMA
57,Sidinda,3,6.000000000000000,0.060000000000000,27.913385391235400,28.464567184448200,0.551181793212891,28.143044471740700,0.247350399595279,168.858266830444000,28.051180839538600,28.464567184448200,2015_07,2015,7,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_07_FLOAT_WMA
58,Simangani,4,5.000000000000000,0.050000000000000,28.740158081054700,29.566928863525400,0.826770782470703,29.181102371215800,0.281047848977255,145.905511856079000,29.291337966918900,29.456692504882800,2015_07,2015,7,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_07_FLOAT_WMA
59,Unknown 16,5,1.000000000000000,0.010000000000000,29.566928863525400,29.566928863525400,0.000000000000000,29.566928863525400,0.000000000000000,29.566928863525400,29.566928863525400,29.566928863525400,2015_07,2015,7,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_07_FLOAT_WMA
60,Chidobe,6,1.000000000000000,0.010000000000000,27.637794494628900,27.637794494628900,0.000000000000000,27.637794494628900,0.000000000000000,27.637794494628900,27.637794494628900,27.637794494628900,2015_07,2015,7,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_07_FLOAT_WMA
61,Jambezi,7,2.000000000000000,0.020000000000000,27.913385391235400,28.464567184448200,0.551181793212891,28.188976287841800,0.275590896606445,56.377952575683600,28.188976287841800,28.409449005127000,2015_07,2015,7,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_07_FLOAT_WMA
62,Kachecheti,8,2.000000000000000,0.020000000000000,27.913385391235400,28.464567184448200,0.551181793212891,28.188976287841800,0.275590896606445,56.377952575683600,28.188976287841800,28.409449005127000,2015_07,2015,7,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_07_FLOAT_WMA
63,Mabale,9,1.000000000000000,0.010000000000000,27.362205505371100,27.362205505371100,0.000000000000000,27.362205505371100,0.000000000000000,27.362205505371100,27.362205505371100,27.362205505371100,2015_07,2015,7,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_07_FLOAT_WMA
64,Nekatambe,1,4.000000000000000,0.040000000000000,32.047245025634800,33.149604797363300,1.102359771728520,32.667323112487800,0.407603062752447,130.669292449951000,32.736221313476600,33.066928100585900,2015_08,2015,8,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_08_FLOAT_WMA
65,Nemananga,2,2.000000000000000,0.020000000000000,33.700786590576200,34.251968383789100,0.551181793212891,33.976377487182600,0.275590896606445,67.952754974365200,33.976377487182600,34.196850204467800,2015_08,2015,8,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_08_FLOAT_WMA
66,Sidinda,3,6.000000000000000,0.060000000000000,32.874015808105500,33.425197601318400,0.551181793212891,33.195538202921600,0.247350458627251,199.173229217529000,33.287401199340800,33.425197601318400,2015_08,2015,8,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_08_FLOAT_WMA
67,Simangani,4,5.000000000000000,0.050000000000000,32.874015808105500,33.976379394531300,1.102363586425780,33.425196838378900,0.389744383648517,167.125984191895000,33.425197601318400,33.866142272949200,2015_08,2015,8,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_08_FLOAT_WMA
68,Unknown 16,5,1.000000000000000,0.010000000000000,33.976379394531300,33.976379394531300,0.000000000000000,33.976379394531300,0.000000000000000,33.976379394531300,33.976379394531300,33.976379394531300,2015_08,2015,8,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_08_FLOAT_WMA
69,Chidobe,6,1.000000000000000,0.010000000000000,33.700786590576200,33.700786590576200,0.000000000000000,33.700786590576200,0.000000000000000,33.700786590576200,33.700786590576200,33.700786590576200,2015_08,2015,8,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_08_FLOAT_WMA
70,Jambezi,7,2.000000000000000,0.020000000000000,32.874015808105500,33.700786590576200,0.826770782470703,33.287401199340800,0.413385391235352,66.574802398681600,33.287401199340800,33.618109512329100,2015_08,2015,8,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_08_FLOAT_WMA
71,Kachecheti,8,2.000000000000000,0.020000000000000,33.700786590576200,34.251968383789100,0.551181793212891,33.976377487182600,0.275590896606445,67.952754974365200,33.976377487182600,34.196850204467800,2015_08,2015,8,C:\Users\kem99059\Desktop\Zambezi\Climate\LST\LST.gdb\MOD_LSTD_M_2015_08_FLOAT_WMA
